country,place_id,place,infected,date
Bulgaria,1,Благоевград,0,2020-06-08
Bulgaria,1,Благоевград,2,2020-06-09
Bulgaria,1,Благоевград,0,2020-06-10
Bulgaria,1,Благоевград,2,2020-06-11
Bulgaria,1,Благоевград,0,2020-06-12
Bulgaria,1,Благоевград,1,2020-06-13
Bulgaria,1,Благоевград,0,2020-06-14
Bulgaria,1,Благоевград,0,2020-06-15
Bulgaria,1,Благоевград,0,2020-06-16
Bulgaria,1,Благоевград,0,2020-06-17
Bulgaria,1,Благоевград,3,2020-06-18
Bulgaria,1,Благоевград,4,2020-06-19
Bulgaria,1,Благоевград,5,2020-06-20
Bulgaria,1,Благоевград,7,2020-06-21
Bulgaria,1,Благоевград,1,2020-06-22
Bulgaria,1,Благоевград,1,2020-06-23
Bulgaria,1,Благоевград,1,2020-06-24
Bulgaria,1,Благоевград,1,2020-06-25
Bulgaria,1,Благоевград,6,2020-06-26
Bulgaria,1,Благоевград,2,2020-06-27
Bulgaria,1,Благоевград,1,2020-06-28
Bulgaria,1,Благоевград,2,2020-06-29
Bulgaria,1,Благоевград,1,2020-06-30
Bulgaria,1,Благоевград,5,2020-07-01
Bulgaria,1,Благоевград,11,2020-07-02
Bulgaria,1,Благоевград,5,2020-07-03
Bulgaria,1,Благоевград,4,2020-07-04
Bulgaria,1,Благоевград,3,2020-07-05
Bulgaria,1,Благоевград,5,2020-07-06
Bulgaria,1,Благоевград,7,2020-07-07
Bulgaria,1,Благоевград,10,2020-07-08
Bulgaria,1,Благоевград,17,2020-07-09
Bulgaria,1,Благоевград,19,2020-07-10
Bulgaria,1,Благоевград,19,2020-07-11
Bulgaria,1,Благоевград,13,2020-07-12
Bulgaria,1,Благоевград,7,2020-07-13
Bulgaria,1,Благоевград,2,2020-07-14
Bulgaria,1,Благоевград,19,2020-07-15
Bulgaria,1,Благоевград,15,2020-07-16
Bulgaria,1,Благоевград,15,2020-07-17
Bulgaria,1,Благоевград,12,2020-07-18
Bulgaria,1,Благоевград,28,2020-07-19
Bulgaria,1,Благоевград,9,2020-07-20
Bulgaria,1,Благоевград,6,2020-07-21
Bulgaria,1,Благоевград,25,2020-07-22
Bulgaria,1,Благоевград,35,2020-07-23
Bulgaria,1,Благоевград,34,2020-07-24
Bulgaria,1,Благоевград,26,2020-07-25
Bulgaria,1,Благоевград,15,2020-07-26
Bulgaria,1,Благоевград,20,2020-07-27
Bulgaria,1,Благоевград,19,2020-07-28
Bulgaria,1,Благоевград,22,2020-07-29
Bulgaria,1,Благоевград,38,2020-07-30
Bulgaria,1,Благоевград,28,2020-07-31
Bulgaria,1,Благоевград,55,2020-08-01
Bulgaria,1,Благоевград,11,2020-08-02
Bulgaria,1,Благоевград,1,2020-08-03
Bulgaria,1,Благоевград,10,2020-08-04
Bulgaria,1,Благоевград,43,2020-08-05
Bulgaria,1,Благоевград,97,2020-08-06
Bulgaria,1,Благоевград,13,2020-08-07
Bulgaria,1,Благоевград,23,2020-08-08
Bulgaria,1,Благоевград,15,2020-08-09
Bulgaria,1,Благоевград,5,2020-08-10
Bulgaria,1,Благоевград,11,2020-08-11
Bulgaria,1,Благоевград,24,2020-08-12
Bulgaria,1,Благоевград,23,2020-08-13
Bulgaria,1,Благоевград,35,2020-08-14
Bulgaria,1,Благоевград,20,2020-08-15
Bulgaria,1,Благоевград,14,2020-08-16
Bulgaria,1,Благоевград,6,2020-08-17
Bulgaria,1,Благоевград,12,2020-08-18
Bulgaria,1,Благоевград,28,2020-08-19
Bulgaria,1,Благоевград,24,2020-08-20
Bulgaria,1,Благоевград,11,2020-08-21
Bulgaria,1,Благоевград,21,2020-08-22
Bulgaria,1,Благоевград,16,2020-08-23
Bulgaria,1,Благоевград,17,2020-08-24
Bulgaria,1,Благоевград,7,2020-08-25
Bulgaria,1,Благоевград,36,2020-08-26
Bulgaria,1,Благоевград,22,2020-08-27
Bulgaria,1,Благоевград,21,2020-08-28
Bulgaria,1,Благоевград,19,2020-08-29
Bulgaria,1,Благоевград,25,2020-08-30
Bulgaria,1,Благоевград,4,2020-08-31
Bulgaria,1,Благоевград,4,2020-09-01
Bulgaria,1,Благоевград,35,2020-09-02
Bulgaria,1,Благоевград,29,2020-09-03
Bulgaria,1,Благоевград,28,2020-09-04
Bulgaria,1,Благоевград,29,2020-09-05
Bulgaria,1,Благоевград,14,2020-09-06
Bulgaria,1,Благоевград,11,2020-09-07
Bulgaria,1,Благоевград,14,2020-09-08
Bulgaria,1,Благоевград,15,2020-09-09
Bulgaria,1,Благоевград,21,2020-09-10
Bulgaria,1,Благоевград,19,2020-09-11
Bulgaria,1,Благоевград,59,2020-09-12
Bulgaria,1,Благоевград,18,2020-09-13
Bulgaria,1,Благоевград,1,2020-09-14
