country,pcr_tests,antigen_tests,positive_percentage,positive_pcr_tests,pcr_positive_percentage,positive_antigen_tests,antigen_positive_percentage,date
Bulgaria,816,,5.27,43,5.27,,,2020-06-07
Bulgaria,427,,3.75,16,3.75,,,2020-06-08
Bulgaria,1406,,5.9,83,5.9,,,2020-06-09
Bulgaria,1777,,4.45,79,4.45,,,2020-06-10
Bulgaria,2308,,4.51,104,4.51,,,2020-06-11
Bulgaria,2640,,3.52,93,3.52,,,2020-06-12
Bulgaria,2642,,3.97,105,3.97,,,2020-06-13
Bulgaria,1975,,3.8,75,3.8,,,2020-06-14
Bulgaria,1409,,1.7,24,1.7,,,2020-06-15
Bulgaria,1794,,2.84,51,2.84,,,2020-06-16
Bulgaria,2045,,5.48,112,5.48,,,2020-06-17
Bulgaria,2054,,4.33,89,4.33,,,2020-06-18
Bulgaria,2104,,6.27,132,6.27,,,2020-06-19
Bulgaria,2371,,3.42,81,3.42,,,2020-06-20
Bulgaria,1360,,8.6,117,8.6,,,2020-06-21
Bulgaria,566,,5.83,33,5.83,,,2020-06-22
Bulgaria,2776,,2.85,79,2.85,,,2020-06-23
Bulgaria,2946,,4.41,130,4.41,,,2020-06-24
Bulgaria,3016,,4.24,128,4.24,,,2020-06-25
Bulgaria,2775,,5.98,166,5.98,,,2020-06-26
Bulgaria,2750,,3.82,105,3.82,,,2020-06-27
Bulgaria,1528,,7.33,112,7.33,,,2020-06-28
Bulgaria,1034,,6.38,66,6.38,,,2020-06-29
Bulgaria,4525,,3.09,140,3.09,,,2020-06-30
Bulgaria,3343,,4.73,158,4.73,,,2020-07-01
Bulgaria,2896,,5.7,165,5.7,,,2020-07-02
Bulgaria,3155,,5.1,161,5.1,,,2020-07-03
Bulgaria,2538,,7.17,182,7.17,,,2020-07-04
Bulgaria,2591,,6.95,180,6.95,,,2020-07-05
Bulgaria,923,,6.83,63,6.83,,,2020-07-06
Bulgaria,2775,,6.27,174,6.27,,,2020-07-07
Bulgaria,3467,,5.42,188,5.42,,,2020-07-08
Bulgaria,4286,,5.6,240,5.6,,,2020-07-09
Bulgaria,3686,,8.95,330,8.95,,,2020-07-10
Bulgaria,4540,,6.43,292,6.43,,,2020-07-11
