country,place_id,place,infected,infected_avg,infected_avg_100k,doses,doses_avg,fully_vaccinated,fully_vaccinated_avg,booster,booster_avg,date
Bulgaria,1,Благоевград,5,1,3,,,,,,,2020-06-15
Bulgaria,1,Благоевград,34,2,11,,,,,,,2020-06-29
Bulgaria,1,Благоевград,126,9,42,,,,,,,2020-07-13
Bulgaria,1,Благоевград,261,19,87,,,,,,,2020-07-27
Bulgaria,1,Благоевград,380,27,126,,,,,,,2020-08-10
Bulgaria,1,Благоевград,262,19,87,,,,,,,2020-08-24
Bulgaria,1,Благоевград,284,20,94,,,,,,,2020-09-07
Bulgaria,1,Благоевград,290,21,96,,,,,,,2020-09-21
Bulgaria,1,Благоевград,312,22,104,,,,,,,2020-10-05
Bulgaria,1,Благоевград,617,44,205,,,,,,,2020-10-19
Bulgaria,1,Благоевград,1223,87,406,,,,,,,2020-11-02
Bulgaria,1,Благоевград,2145,153,712,,,,,,,2020-11-16
Bulgaria,1,Благоевград,1880,134,624,,,,,,,2020-11-30
Bulgaria,1,Благоевград,1505,108,500,,,,,,,2020-12-14
Bulgaria,1,Благоевград,704,50,234,,,,,,,2020-12-28
Bulgaria,1,Благоевград,340,24,113,,,,,,,2021-01-11
Bulgaria,1,Благоевград,270,19,90,,,,,,,2021-01-25
Bulgaria,1,Благоевград,398,28,132,42,14,,,,,2021-02-08
Bulgaria,1,Благоевград,551,39,183,1262,90,76,8,,,2021-02-22
Bulgaria,1,Благоевград,961,69,319,5974,427,437,34,,,2021-03-08
Bulgaria,1,Благоевград,1588,113,527,2738,196,312,22,,,2021-03-22
Bulgaria,1,Благоевград,1804,129,599,3682,283,878,68,,,2021-04-05
Bulgaria,1,Благоевград,1148,82,381,3846,296,1095,84,,,2021-04-19
Bulgaria,1,Благоевград,697,50,231,5638,434,2186,168,,,2021-05-03
Bulgaria,1,Благоевград,383,27,127,10365,864,6996,583,,,2021-05-17
Bulgaria,1,Благоевград,227,16,75,9816,755,5929,456,,,2021-05-31
Bulgaria,1,Благоевград,125,9,42,8348,642,5758,443,,,2021-06-14
Bulgaria,1,Благоевград,64,5,21,5563,506,3791,345,,,2021-06-28
Bulgaria,1,Благоевград,39,3,13,4673,425,3014,274,,,2021-07-12
Bulgaria,1,Благоевград,60,4,20,4704,336,3043,217,,,2021-07-26
Bulgaria,1,Благоевград,148,11,49,4791,342,2831,202,,,2021-08-09
Bulgaria,1,Благоевград,365,26,121,4365,312,2695,193,,,2021-08-23
