country,year,week,infected,cured,fatal,hospitalized,intensive_care,medical_staff,pcr_tests,positive_pcr_tests,antigen_tests,positive_antigen_tests,vaccinated
Bulgaria,2020,10,4,0,0,0,0,,,,,,
Bulgaria,2020,11,47,0,2,0,0,,,,,,
Bulgaria,2020,12,136,3,1,0,0,,,,,,
Bulgaria,2020,13,159,11,5,0,0,,,,,,
Bulgaria,2020,14,185,23,12,0,0,,,,,,
Bulgaria,2020,15,144,31,9,233,36,36,,,,,
Bulgaria,2020,16,219,93,13,50,15,33,,,,,
Bulgaria,2020,17,406,44,14,44,10,69,,,,,
Bulgaria,2020,18,318,103,17,43,8,38,,,,,
Bulgaria,2020,19,347,136,18,73,20,33,,,,,
Bulgaria,2020,20,246,154,17,2,4,31,,,,,
Bulgaria,2020,21,216,242,22,8,0,12,,,,,
Bulgaria,2020,22,86,234,10,1,2,6,,,,,
Bulgaria,2020,23,198,471,20,25,8,36,89902,2711,,,
Bulgaria,2020,24,555,178,12,98,8,24,13175,555,,,
Bulgaria,2020,25,606,304,27,78,5,25,13137,606,,,
Bulgaria,2020,26,753,448,17,107,9,49,16357,753,,,
Bulgaria,2020,27,1052,423,25,43,12,54,20082,1052,,,
Bulgaria,2020,28,1498,413,26,83,9,60,22483,1498,,,
Bulgaria,2020,29,1463,770,32,80,7,61,28230,1463,,,
Bulgaria,2020,30,1674,1225,39,91,9,39,32426,1674,,,
Bulgaria,2020,31,1524,1090,47,111,16,78,35208,1524,,,
Bulgaria,2020,32,1507,1322,60,81,17,65,32536,1507,,,
Bulgaria,2020,33,990,1443,50,13,10,48,29994,990,,,
Bulgaria,2020,34,894,1161,50,37,20,35,34968,894,,,
Bulgaria,2020,35,937,931,60,40,7,46,34715,937,,,
Bulgaria,2020,36,886,879,66,41,6,60,36540,886,,,
Bulgaria,2020,37,841,626,46,19,8,66,23980,841,,,
Bulgaria,2020,38,928,800,38,18,3,46,28047,928,,,
Bulgaria,2020,39,1178,602,34,77,7,67,23428,1178,,,
Bulgaria,2020,40,1521,824,52,135,18,70,26590,1521,,,
Bulgaria,2020,41,2801,834,50,277,11,170,30015,2801,,,
Bulgaria,2020,42,4789,1094,77,295,21,175,35596,4789,,,
Bulgaria,2020,43,8454,1320,116,492,64,340,52193,8454,,,
Bulgaria,2020,44,15282,1813,195,636,34,467,62357,15282,,,
Bulgaria,2020,45,21641,3760,353,1103,105,642,71318,21641,,,
Bulgaria,2020,46,22950,5000,459,1451,30,845,60623,22950,,,
Bulgaria,2020,47,23262,6947,729,1027,120,911,58036,23262,,,
